"TICKER_BLOOMBERG","DESCRIPTION","COUNTRY","METALS","TYPE","UNITS"
CHMMCOPP Index,China semis copper production,China,Copper,Production,Thousand Tonnes
CECNST04 SMMC Index,China Copper Cathode Shanghai Bonded Warehouse Inventory Weekly,China,Copper,Stocks,"10000 metric tonnes"
CECNST19 SMMC Index,China Copper Cathode Guangdong Bonded Warehouse Inventory Weekly,China,Copper,Stocks,"10000 metric tonnes"
CECNST05 SMMC Index,China Copper Cathode Social Inventory Shanghai Weekly,China,Copper,Stocks,"10000 metric tonnes"
CECNST06 SMMC Index,China Copper Cathode Social Inventory Guangdong Weekly,China,Copper,Stocks,"10000 metric tonnes"
IP YOY Index,US Industrial Production YoY%,US,Demand,Industrial Production,%
ZNCNST04 SMMC Index,China Refined Zinc Inventories Total of Shanghai Guangdong Tianjin Weekly,China,Zinc,Stocks,"10000 metric tonnes"
NLSCA Index,London Metal Exchange Warehouse Stocks Copper,Global,Copper,Stocks,metric tons
COMXCOPR Index,Comex Copper Inventory Data,Global,Copper,Stocks,short ton
NLSAH Index,LME CLS Aluminium,Global,Aluminium,Stocks,metric tons
COMXALTL Index,Comex Aluminum Total Stocks in Warehouse,Global,Aluminium,Stocks,metric tonne
NLSZS Index,LME CLS Zinc,Global,Zinc,Stocks,metric tons
COMXZINT Index,Comex Zinc Inventory Total Depository,Global,Zinc,Stocks,metric tonne
LMCADS03 Comdty,LME Copper 3M Fwd,Global,Copper,Price,USD/MT
HG1 COMB Comdty,CMX Copper,Global,Copper,Price,USd/lb.
LMAHDS03 Comdty,LME Aluminium 3M Fwd,Global,Aluminium ,Price,USD/MT
LMZSDS03 Comdty,LME Zinc 3M Fwd,Global,Zinc,Price,USD/MT
ZACNITHE AMTL Index,China Copper Concentrate TC 25% CIF,China,Copper,Spot Treatment Charges,USD/metric tonne
CECNAITL SMET Index,China Copper Cathodes Premium Bill of Lading Shanghai CIF,China,Copper,Premium,USD/metric tonne
CECN0002 SMMC Index,China Yangshan Copper Cathode Premium (Warehouse Warrant against LME Spot),China,Copper,Premium,USD/metric tonne
CFFDTMMN Index,CFTC CMX Copper Managed Money Net Total/Disagg Futures Only,Global,Copper,Investor Positioning,Contracts
CTCTAVAK Index,Copper LME COT Investment Funds Net Contracts Other,Global,Copper,Investor Positioning,Contracts
AHCTAVAK Index,Aluminum LME COT Investment Funds Net Contracts Other,Global,Aluminium,Investor Positioning,Contracts
